,player,season,as,played_for,pos_1,pos_2,all_nba_team_label,2p,3p,ft,trb,ast,stl,blk,2p%,ws,ortg,per,blk%,usg%
106,Jakob Poeltl,2023-24,0,1,C,NA,NA,4.8,0.0,1.2,8.5,2.4,0.7,1.5,68.8,3.2,125,18.1,5.0,15.4
107,Jordan Poole,2023-24,0,1,G,NA,NA,3.8,1.9,2.6,2.3,3.7,1.0,0.3,49.0,-1.0,100,10.4,0.9,25.3
108,Michael Porter Jr.,2023-24,0,1,F,NA,NA,3.4,2.7,1.0,7.0,1.4,0.4,0.8,55.900000000000006,3.4,116,14.6,2.0,20.1
109,Kristaps Porziņģis,2023-24,0,1,F,C,NA,5.0,1.8,4.9,7.0,1.9,0.6,1.9,63.7,5.3,128,22.6,5.5,24.7
110,Taurean Prince,2023-24,0,1,F,NA,NA,1.5,2.0,0.7,2.9,1.7,0.9,0.5,52.900000000000006,1.4,108,8.4,1.4,13.3
111,Julius Randle,2023-24,1,1,F,C,NA,6.9,1.7,5.1,9.2,5.0,0.5,0.3,53.900000000000006,3.8,114,18.6,0.7,29.5
112,Austin Reaves,2023-24,0,1,G,NA,NA,3.7,1.7,3.1,3.9,5.4,0.9,0.2,58.199999999999996,3.8,119,15.7,0.5,20.6
113,Cam Reddish,2023-24,0,1,F,NA,NA,1.5,0.9,1.0,2.4,1.3,1.2,0.3,46.400000000000006,0.6,102,8.4,1.2,13.5
114,Nick Richards,2023-24,0,1,F,C,NA,3.7,0.0,2.1,7.9,0.9,0.3,1.3,67.80000000000001,3.1,135,16.7,4.6,13.2
115,Terry Rozier,2023-24,0,2,G,NA,NA,5.1,2.4,3.3,4.1,6.4,1.0,0.4,51.300000000000004,2.2,115,17.5,0.9,26.2
116,D'Angelo Russell,2023-24,0,1,G,NA,NA,3.7,2.7,2.0,2.7,6.2,0.8,0.5,50.7,3.1,116,16.3,1.4,23.2
117,Domantas Sabonis,2023-24,0,1,C,F,NA,7.5,0.5,3.4,13.2,8.3,0.8,0.5,64.0,7.9,129,23.1,1.3,21.9
118,Dennis Schröder,2023-24,0,2,G,NA,NA,3.3,1.5,2.4,2.8,6.3,0.9,0.2,49.9,2.8,118,14.0,0.4,19.5
119,Alperen Şengün,2023-24,0,1,C,F,NA,7.9,0.5,3.8,9.3,5.0,1.1,0.7,57.49999999999999,5.7,118,22.1,2.0,27.2
120,Collin Sexton,2023-24,0,1,G,NA,NA,4.4,1.5,4.1,2.5,4.5,0.7,0.2,52.7,3.8,123,19.8,0.7,27.8
121,Shaedon Sharpe,2023-24,0,1,G,NA,NA,3.6,1.9,3.1,5.0,2.9,0.9,0.4,45.7,0.4,104,11.3,1.0,22.5
122,Pascal Siakam,2023-24,0,2,F,C,NA,7.3,1.2,3.8,6.5,4.8,0.8,0.3,59.099999999999994,4.4,120,19.1,0.6,25.2
123,Anfernee Simons,2023-24,0,1,G,NA,NA,4.7,3.4,3.8,3.5,5.3,0.5,0.1,49.1,1.7,115,17.3,0.4,28.8
124,Jabari Smith Jr.,2023-24,0,1,F,NA,NA,3.3,1.7,1.7,8.3,1.4,0.7,0.8,53.5,3.3,115,13.5,2.3,17.3
125,Jeremy Sochan,2023-24,0,1,F,G,NA,3.5,1.0,1.5,6.1,3.7,0.7,0.4,47.9,0.6,105,11.1,1.3,18.3
126,Isaiah Stewart,2023-24,0,1,F,C,NA,2.7,1.4,1.5,6.8,1.7,0.4,0.8,54.400000000000006,0.9,112,11.0,2.1,15.3
127,Max Strus,2023-24,0,1,G,NA,NA,2.0,2.4,1.0,5.0,3.7,0.9,0.5,54.50000000000001,3.1,111,11.1,1.3,17.3
128,Jalen Suggs,2023-24,0,1,G,NA,NA,2.3,2.0,1.5,3.2,2.4,1.4,0.6,51.6,2.1,107,12.5,2.0,20.2
129,Jayson Tatum,2023-24,1,1,F,NA,NA,6.2,3.0,5.6,8.5,4.7,1.0,0.6,56.00000000000001,6.8,120,22.0,1.5,29.9
130,Cam Thomas,2023-24,0,1,G,NA,NA,5.7,2.0,4.0,2.9,2.6,0.7,0.3,47.9,1.1,109,15.4,0.8,30.7
131,Ausar Thompson,2023-24,0,1,G,NA,NA,3.3,0.2,1.2,6.6,1.9,1.0,0.9,56.699999999999996,1.2,107,12.9,3.2,16.7
132,Klay Thompson,2023-24,0,1,G,F,NA,2.7,3.2,1.8,3.4,2.3,0.6,0.6,47.599999999999994,1.5,110,12.1,1.6,23.0
133,Obi Toppin,2023-24,0,1,F,NA,NA,3.0,1.2,1.0,3.9,1.6,0.5,0.5,68.7,2.8,128,15.2,1.7,16.4
134,Karl-Anthony Towns,2023-24,1,1,C,F,NA,5.8,2.3,4.1,8.5,3.0,0.7,0.6,55.2,5.6,117,19.2,1.7,27.4
135,Myles Turner,2023-24,0,1,C,F,NA,4.8,1.4,3.3,6.9,1.4,0.5,1.7,61.6,3.5,120,18.7,5.1,23.2
136,Jonas Valančiūnas,2023-24,0,1,C,NA,NA,4.9,0.6,2.4,9.5,2.3,0.5,1.0,61.9,5.6,128,21.0,3.9,20.5
137,Fred VanVleet,2023-24,0,1,G,NA,NA,2.6,2.9,2.6,3.7,8.2,1.1,1.0,45.6,5.2,122,16.0,2.5,19.1
138,Devin Vassell,2023-24,0,1,G,F,NA,4.5,2.5,2.5,3.7,3.6,1.0,0.3,55.400000000000006,2.2,114,15.7,0.7,23.4
139,Nikola Vučević,2023-24,0,1,C,NA,NA,6.4,1.1,1.4,10.6,3.5,0.7,0.9,54.800000000000004,3.6,114,17.6,2.7,23.0
140,Dean Wade,2023-24,0,1,F,NA,NA,0.3,1.5,0.3,4.3,0.8,0.8,0.4,50.0,2.4,121,10.0,1.5,10.4
141,Franz Wagner,2023-24,0,1,G,F,NA,6.2,1.7,3.8,5.6,4.1,1.1,0.4,55.1,4.1,117,18.2,1.0,26.4
142,Victor Wembanyama,2023-24,0,1,C,F,NA,5.9,1.6,3.8,10.0,3.1,1.1,3.0,52.900000000000006,1.4,102,21.4,9.2,31.9
143,Coby White,2023-24,0,1,G,NA,NA,4.1,2.8,2.7,4.7,5.2,0.7,0.2,51.800000000000004,3.7,116,15.1,0.7,22.6
144,Derrick White,2023-24,0,1,G,NA,NA,2.7,2.6,2.1,3.9,4.8,1.0,1.2,54.300000000000004,5.2,124,16.3,3.3,19.1
145,Andrew Wiggins,2023-24,0,1,F,G,NA,3.8,1.0,1.8,4.3,1.6,0.5,0.5,49.6,1.0,108,11.0,1.8,20.4
146,Grant Williams,2023-24,0,2,F,NA,NA,1.1,1.7,0.9,3.7,1.7,0.5,0.6,48.199999999999996,1.1,110,8.3,1.9,13.7
147,Jalen Williams,2023-24,0,1,G,NA,NA,5.9,1.5,2.6,4.1,4.6,1.0,0.5,56.8,4.7,122,18.2,1.4,22.9
148,Patrick Williams,2023-24,0,1,F,NA,NA,2.3,1.4,1.2,3.9,1.5,0.9,0.8,47.4,1.3,107,11.0,2.9,16.7
149,Zion Williamson,2023-24,0,1,F,C,NA,8.7,0.1,4.7,5.5,4.8,1.0,0.5,59.099999999999994,4.4,121,22.8,1.5,29.0
150,Trae Young,2023-24,1,1,G,NA,NA,5.1,3.4,6.8,2.8,10.8,1.5,0.2,47.699999999999996,4.3,119,20.6,0.5,30.8
151,Ivica Zubac,2023-24,0,1,C,NA,NA,5.1,0.0,1.8,9.4,1.2,0.2,1.3,65.8,4.3,134,19.4,4.4,16.5
152,Steven Adams,2022-23,0,1,C,NA,NA,3.7,0.0,1.1,11.5,2.3,0.9,1.1,59.9,3.4,118,17.5,3.7,14.6
153,Bam Adebayo,2022-23,1,1,C,F,NA,8.0,0.0,4.3,9.2,3.2,1.2,0.8,54.50000000000001,7.4,115,20.1,2.4,25.2
154,Grayson Allen,2022-23,0,1,G,NA,NA,1.4,2.0,1.6,3.3,2.3,0.9,0.2,51.800000000000004,5.1,123,12.3,0.6,14.6
155,Jarrett Allen,2022-23,0,1,C,F,NA,5.9,0.0,2.4,9.8,1.7,0.8,1.2,65.3,9.5,132,19.9,3.5,16.4
156,Kyle Anderson,2022-23,0,1,F,G,NA,3.0,0.6,1.4,5.3,4.9,1.1,0.9,53.6,5.1,120,14.8,2.8,14.4
157,Giannis Antetokounmpo,2022-23,1,1,F,G,first,10.5,0.7,7.9,11.8,5.7,0.8,0.8,59.599999999999994,8.6,117,29.0,2.1,38.8
158,OG Anunoby,2022-23,0,1,F,NA,NA,4.2,2.1,2.1,5.0,2.0,1.9,0.7,53.900000000000006,4.7,113,14.6,2.0,19.5
159,Deni Avdija,2022-23,0,1,G,F,NA,2.4,0.9,1.6,6.4,2.8,0.9,0.4,53.0,2.3,106,11.2,1.2,16.7
160,Deandre Ayton,2022-23,0,1,C,NA,NA,7.7,0.1,2.3,10.0,1.7,0.6,0.8,59.699999999999996,6.2,119,19.9,2.3,22.9
161,LaMelo Ball,2022-23,0,1,G,NA,NA,4.2,4.0,2.8,6.4,8.4,1.3,0.3,45.0,1.8,108,17.9,0.8,30.0
162,Paolo Banchero,2022-23,0,1,F,NA,NA,5.5,1.2,5.5,6.9,3.7,0.8,0.5,47.099999999999994,2.4,105,14.9,1.5,27.5
163,Desmond Bane,2022-23,0,1,G,NA,NA,4.9,2.9,3.1,5.0,4.4,1.0,0.4,53.400000000000006,5.8,119,19.1,1.1,26.1
164,Harrison Barnes,2022-23,0,1,F,NA,NA,3.0,1.6,4.3,4.5,1.6,0.7,0.1,55.300000000000004,6.5,126,14.1,0.3,17.1
165,Scottie Barnes,2022-23,0,1,G,F,NA,5.2,0.8,2.5,6.6,4.8,1.1,0.8,50.5,5.0,113,15.5,2.2,20.3
166,RJ Barrett,2022-23,0,1,G,F,NA,5.3,1.7,4.0,5.0,2.8,0.4,0.2,49.5,2.2,107,12.9,0.6,26.2
167,Keita Bates-Diop,2022-23,0,1,F,NA,NA,2.7,0.8,1.8,3.7,1.5,0.7,0.3,55.7,2.7,121,14.9,1.1,16.7
168,Bradley Beal,2022-23,0,1,G,NA,NA,7.3,1.6,3.8,3.9,5.4,0.9,0.7,55.2,3.4,114,19.7,1.7,29.2
169,Patrick Beverley,2022-23,0,2,G,NA,NA,1.0,1.2,0.7,3.7,2.9,0.9,0.6,52.900000000000006,3.0,113,8.9,2.0,10.6
170,Saddiq Bey,2022-23,0,2,F,NA,NA,2.6,2.0,2.7,4.7,1.5,0.9,0.2,48.3,3.9,117,14.6,0.5,20.2
171,Bojan Bogdanović,2022-23,0,1,G,F,NA,4.8,2.5,4.5,3.8,2.6,0.6,0.1,53.900000000000006,3.5,118,17.4,0.4,25.9
172,Devin Booker,2022-23,0,1,G,NA,NA,7.8,2.1,5.8,4.5,5.5,1.0,0.3,55.400000000000006,6.0,119,22.0,0.9,31.8
173,Mikal Bridges,2022-23,0,2,F,G,NA,5.1,2.0,3.8,4.4,3.3,1.1,0.7,51.4,7.5,118,16.8,1.8,22.6
